ID,Pop,Drainage,Habitat ,Group,Tissue,Sex,Mass,H2S,Bin,mitoA,relative mitoA
33,2,2,0,3,1,0,0.54,72.4,3,0.569327731,2.775737204
32,2,2,0,3,1,0,0.53,73,3,0.065012831,0.316967757
31,2,2,0,3,1,0,0.32,76.8,3,0.29866797,1.456145118
51,3,2,1,4,1,0,0.42,0,0,0.195537989,0.94284647
52,3,2,1,4,1,0,0.46,0,0,0.193917051,0.93503062
60,3,2,1,4,1,0,0.37,0,0,0.337338674,1.626582025
59,3,2,1,4,1,0,0.34,0,0,0.102770781,0.495540885
55,3,2,1,4,1,0,0.36,7.2,1,0.014489472,0.069865439
58,3,2,1,4,1,0,0.43,7.4,1,0.376063041,1.813303454
56,3,2,1,4,1,0,0.32,10.8,1,0.004052685,0.019541265
57,3,2,1,4,1,0,0.3,17.4,1,0.236016236,1.13802477
49,3,2,1,1,1,0,0.49,26.4,2,0.6182013,2.980847439
53,3,2,1,1,1,0,0.54,26.6,2,0.489795918,2.361701452
50,3,2,1,1,1,0,0.33,27.4,2,0.358208955,1.727214495
48,3,2,1,4,1,0,0.46,46.8,3,0.320573383,1.545743025
45,3,2,1,4,1,0,0.53,59,3,0.476697062,2.298541294
54,3,2,1,4,1,0,0.41,77,3,0.188261351,0.907759925
46,3,2,1,4,1,0,0.54,87.4,3,0.605864945,2.921363914
47,3,2,1,4,1,0,0.68,87.8,3,0.213457077,1.029248857
9,0,1,0,1,2,0,0.46,0,0,0.175824176,0.994005252
5,0,1,0,1,2,0,0.93,0,0,0.213425129,1.206578663
8,0,1,0,1,2,0,0.7,0,0,0.141404358,0.799416085
13,0,1,0,1,2,0,1.99,15.6,1,0.227461859,1.28593398
3,0,1,0,1,2,0,1.55,22.3,2,0.252605763,1.428082649
12,0,1,0,1,2,0,0.57,27.8,2,0.357864358,2.023152103
2,0,1,0,1,2,0,0.78,31.3,2,0.25,1.413351216
7,0,1,0,1,2,0,0.91,36.6,2,0.161490683,0.912972213
11,0,1,0,1,2,0,0.64,43.6,2,0.538461538,3.044141079
14,0,1,0,1,2,0,0.86,43.8,2,0.183599794,1.037963969
4,0,1,0,1,2,0,1.12,54.13,3,0.433941998,2.453249803
10,0,1,0,1,2,0,0.55,65,3,0.262548263,1.484291627
6,0,1,0,1,2,0,1.35,72,3,0.4,2.261361946
23,1,1,1,2,2,1,0.28,0,0,0.096214633,0.298532124
19,1,1,1,2,2,1,0.36,0,0,0.183953033,0.570764425
20,1,1,1,2,2,0,0.31,0,0,0.686709517,2.130703452
24,1,1,1,2,2,0,0.78,11.6,1,0.143815916,0.446228079
27,1,1,1,2,2,0,0.61,13,1,0.136316695,0.422959702
21,1,1,1,2,2,0,0.48,15.4,1,0.181818182,0.564140467
25,1,1,1,2,2,0,0.34,16.6,1,0.09629395,0.298778227
26,1,1,1,2,2,1,0.24,19.8,1,0.108291032,0.336002443
22,1,1,1,2,2,0,0.34,20.8,2,0.365079365,1.132758239
16,1,1,1,2,2,0,0.49,36.6,2,0.144167759,0.447319768
15,1,1,1,2,2,0,0.6,49.8,3,0.271857473,0.84351191
28,1,1,1,2,2,0,0.7,55.4,3,0.256532067,0.79596066
17,1,1,1,2,2,1,0.49,65.6,3,0.216216216,0.670869744
18,1,1,1,2,2,1,0.44,72.6,3,0.192481203,0.597225397
30,2,2,0,3,2,0,0.53,0,0,0.19047619,1.133971289
36,2,2,0,3,2,0,0.3,0,0,0.200120555,1.191387562
37,2,2,0,3,2,0,0.39,0,0,0.113321278,0.674641149
41,2,2,0,3,2,1,0.41,4.8,1,0.29887218,1.779290478
40,2,2,0,3,2,0,0.39,5.8,1,0.135600907,0.807279562
43,2,2,0,3,2,0,0.45,7.2,1,0.236870542,1.410173071
42,2,2,0,3,2,0,0.44,11.2,1,0.220449601,1.312413474
38,2,2,0,3,2,0,0.36,22,2,0.306620209,1.825417201
35,2,2,0,3,2,0,0.3,36,2,0.295798319,1.76099071
39,2,2,0,3,2,0,0.41,37,2,0.168944099,1.00578323
29,2,2,0,3,2,1,1.17,38,2,0.171637886,1.021820285
34,2,2,0,3,2,0,0.42,58.8,3,0.241071429,1.435182419
32,2,2,0,3,2,0,0.53,73,3,0.38538206,2.29431401
31,2,2,0,3,2,0,0.32,76.8,3,0.155546459,0.9260224
51,3,2,1,4,2,0,0.42,0,0,0.230414747,0.711261902
52,3,2,1,4,2,0,0.46,0,0,0.383193277,1.182870378
